;Proband;Block;Task;Trial;MappingMethod;NumLayers;Target;Target_Relative;Duration
0;0;1;1;0; densening;15;11;0.7333333333333333;10.926
1;0;1;1;1; densening;15;14;0.9333333333333333;9.491
2;0;1;1;2; densening;15;8;0.5333333333333333;9.525
3;0;1;1;3; densening;15;1;0.06666666666666667;20.049
4;0;1;1;4; densening;15;4;0.26666666666666666;6.846
5;0;1;2;0; densening;12;1;0.08333333333333333;10.468
6;0;1;2;1; densening;12;6;0.5;13.875
7;0;1;2;2; densening;12;9;0.75;9.253
8;0;1;2;3; densening;12;11;0.9166666666666666;11.502
9;0;1;2;4; densening;12;3;0.25;6.99
10;0;1;3;0; densening;9;1;0.1111111111111111;12.491
11;0;1;3;1; densening;9;7;0.7777777777777778;3.466
12;0;1;3;2; densening;9;8;0.8888888888888888;5.998
13;0;1;3;3; densening;9;2;0.2222222222222222;5.13
14;0;1;3;4; densening;9;5;0.5555555555555556;4.778
15;0;1;4;0; densening;6;4;0.6666666666666666;5.409
16;0;1;4;1; densening;6;5;0.8333333333333334;7.174
17;0;1;4;2; densening;6;3;0.5;5.158
18;0;1;4;3; densening;6;2;0.3333333333333333;4.797
19;0;1;4;4; densening;6;1;0.16666666666666666;4.587
20;0;1;5;0; densening;12;3;0.25;7.504
21;0;1;5;1; densening;12;11;0.9166666666666666;2.959
22;0;1;5;2; densening;12;9;0.75;2.762
23;0;1;5;3; densening;12;6;0.5;9.14
24;0;1;5;4; densening;12;1;0.08333333333333333;4.332
25;0;1;6;0; densening;18;1;0.05555555555555555;7.26
26;0;1;6;1; densening;18;17;0.9444444444444444;4.54
27;0;1;6;2; densening;18;9;0.5;5.984
28;0;1;6;3; densening;18;14;0.7777777777777778;15.285
29;0;1;6;4; densening;18;5;0.2777777777777778;13.943
30;0;1;7;0; densening;6;2;0.3333333333333333;8.975
31;0;1;7;1; densening;6;3;0.5;2.675
32;0;1;7;2; densening;6;5;0.8333333333333334;3.536
33;0;1;7;3; densening;6;4;0.6666666666666666;6.421
34;0;1;7;4; densening;6;1;0.16666666666666666;5.53
35;0;1;8;0; densening;9;8;0.8888888888888888;21.405
36;0;1;8;1; densening;9;2;0.2222222222222222;5.951
37;0;1;8;2; densening;9;5;0.5555555555555556;7.582
38;0;1;8;3; densening;9;7;0.7777777777777778;4.126
39;0;1;8;4; densening;9;1;0.1111111111111111;5.69
40;0;1;9;0; densening;15;11;0.7333333333333333;11.927
41;0;1;9;1; densening;15;14;0.9333333333333333;8.281
42;0;1;9;2; densening;15;8;0.5333333333333333;13.378
43;0;1;9;3; densening;15;4;0.26666666666666666;7.309
44;0;1;9;4; densening;15;1;0.06666666666666667;12.646
45;0;1;10;0; densening;12;1;0.08333333333333333;8.56
46;0;1;10;1; densening;12;11;0.9166666666666666;9.275
47;0;1;10;2; densening;12;9;0.75;14.053
48;0;1;10;3; densening;12;6;0.5;9.762
49;0;1;10;4; densening;12;3;0.25;5.103
50;0;1;11;0; densening;18;17;0.9444444444444444;56.315
51;0;1;11;1; densening;18;9;0.5;9.983
52;0;1;11;2; densening;18;5;0.2777777777777778;7.84
53;0;1;11;3; densening;18;1;0.05555555555555555;4.593
54;0;1;11;4; densening;18;14;0.7777777777777778;10.219
55;0;1;12;0; densening;21;1;0.047619047619047616;30.574
56;0;1;12;1; densening;21;16;0.7619047619047619;19.709
57;0;1;12;2; densening;21;20;0.9523809523809523;24.008
58;0;1;12;3; densening;21;5;0.23809523809523808;5.961
59;0;1;12;4; densening;21;11;0.5238095238095238;9.637
60;0;1;13;0; densening;21;16;0.7619047619047619;15.462
61;0;1;13;1; densening;21;11;0.5238095238095238;6.823
62;0;1;13;2; densening;21;20;0.9523809523809523;10.661
63;0;1;13;3; densening;21;5;0.23809523809523808;15.191
64;0;1;13;4; densening;21;1;0.047619047619047616;5.748
65;0;1;14;0; densening;9;2;0.2222222222222222;8.713
66;0;1;14;1; densening;9;8;0.8888888888888888;3.358
67;0;1;14;2; densening;9;7;0.7777777777777778;4.711
68;0;1;14;3; densening;9;1;0.1111111111111111;7.26
69;0;1;14;4; densening;9;5;0.5555555555555556;4.024
70;0;1;15;0; densening;18;9;0.5;15.887
71;0;1;15;1; densening;18;14;0.7777777777777778;10.363
72;0;1;15;2; densening;18;5;0.2777777777777778;11.465
73;0;1;15;3; densening;18;1;0.05555555555555555;6.419
74;0;1;15;4; densening;18;17;0.9444444444444444;3.277
75;0;1;16;0; densening;6;5;0.8333333333333334;5.127
76;0;1;16;1; densening;6;1;0.16666666666666666;9.789
77;0;1;16;2; densening;6;2;0.3333333333333333;2.597
78;0;1;16;3; densening;6;3;0.5;4.413
79;0;1;16;4; densening;6;4;0.6666666666666666;5.606
80;0;1;17;0; densening;15;4;0.26666666666666666;9.31
81;0;1;17;1; densening;15;14;0.9333333333333333;5.622
82;0;1;17;2; densening;15;8;0.5333333333333333;5.918
83;0;1;17;3; densening;15;1;0.06666666666666667;8.15
84;0;1;17;4; densening;15;11;0.7333333333333333;4.27
85;0;1;18;0; densening;21;16;0.7619047619047619;35.479
86;0;1;18;1; densening;21;5;0.23809523809523808;6.136
87;0;1;18;2; densening;21;20;0.9523809523809523;9.319
88;0;1;18;3; densening;21;1;0.047619047619047616;10.929
89;0;1;18;4; densening;21;11;0.5238095238095238;13.874
90;0;2;1;0; direct;9;5;0.5555555555555556;267.212
91;0;2;1;1; direct;9;2;0.2222222222222222;5.792
92;0;2;1;2; direct;9;8;0.8888888888888888;6.083
93;0;2;1;3; direct;9;7;0.7777777777777778;3.278
94;0;2;1;4; direct;9;1;0.1111111111111111;5.451
95;0;2;2;0; direct;12;6;0.5;7.06
96;0;2;2;1; direct;12;1;0.08333333333333333;6.891
97;0;2;2;2; direct;12;3;0.25;5.061
98;0;2;2;3; direct;12;11;0.9166666666666666;7.564
99;0;2;2;4; direct;12;9;0.75;4.355
100;0;2;3;0; direct;6;1;0.16666666666666666;6.566
101;0;2;3;1; direct;6;5;0.8333333333333334;2.804
102;0;2;3;2; direct;6;4;0.6666666666666666;3.486
103;0;2;3;3; direct;6;2;0.3333333333333333;5.149
104;0;2;3;4; direct;6;3;0.5;3.038
105;0;2;4;0; direct;18;5;0.2777777777777778;8.734
106;0;2;4;1; direct;18;14;0.7777777777777778;4.936
107;0;2;4;2; direct;18;1;0.05555555555555555;7.191
108;0;2;4;3; direct;18;9;0.5;5.661
109;0;2;4;4; direct;18;17;0.9444444444444444;9.14
110;0;2;5;0; direct;21;11;0.5238095238095238;10.01
111;0;2;5;1; direct;21;5;0.23809523809523808;6.833
112;0;2;5;2; direct;21;1;0.047619047619047616;5.633
113;0;2;5;3; direct;21;20;0.9523809523809523;6.645
114;0;2;5;4; direct;21;16;0.7619047619047619;10.041
115;0;2;6;0; direct;21;16;0.7619047619047619;3.729
116;0;2;6;1; direct;21;5;0.23809523809523808;13.315
117;0;2;6;2; direct;21;11;0.5238095238095238;10.528
118;0;2;6;3; direct;21;1;0.047619047619047616;16.975
119;0;2;6;4; direct;21;20;0.9523809523809523;22.325
120;0;2;7;0; direct;21;1;0.047619047619047616;30.161
121;0;2;7;1; direct;21;16;0.7619047619047619;19.527
122;0;2;7;2; direct;21;5;0.23809523809523808;16.399
123;0;2;7;3; direct;21;20;0.9523809523809523;8.23
124;0;2;7;4; direct;21;11;0.5238095238095238;7.689
125;0;2;8;0; direct;9;5;0.5555555555555556;14.465
126;0;2;8;1; direct;9;2;0.2222222222222222;10.328
127;0;2;8;2; direct;9;1;0.1111111111111111;6.796
128;0;2;8;3; direct;9;7;0.7777777777777778;5.899
129;0;2;8;4; direct;9;8;0.8888888888888888;6.89
130;0;2;9;0; direct;18;1;0.05555555555555555;21.821
131;0;2;9;1; direct;18;5;0.2777777777777778;16.6
132;0;2;9;2; direct;18;14;0.7777777777777778;11.655
133;0;2;9;3; direct;18;9;0.5;6.432
134;0;2;9;4; direct;18;17;0.9444444444444444;6.596
135;0;2;10;0; direct;15;1;0.06666666666666667;19.506
136;0;2;10;1; direct;15;14;0.9333333333333333;4.185
137;0;2;10;2; direct;15;4;0.26666666666666666;6.246
138;0;2;10;3; direct;15;8;0.5333333333333333;4.224
139;0;2;10;4; direct;15;11;0.7333333333333333;4.481
140;0;2;11;0; direct;6;1;0.16666666666666666;8.117
141;0;2;11;1; direct;6;3;0.5;6.838
142;0;2;11;2; direct;6;4;0.6666666666666666;4.173
143;0;2;11;3; direct;6;2;0.3333333333333333;6.327
144;0;2;11;4; direct;6;5;0.8333333333333334;4.616
145;0;2;12;0; direct;18;1;0.05555555555555555;15.449
146;0;2;12;1; direct;18;9;0.5;8.619
147;0;2;12;2; direct;18;14;0.7777777777777778;4.877
148;0;2;12;3; direct;18;5;0.2777777777777778;6.617
149;0;2;12;4; direct;18;17;0.9444444444444444;43.499
150;0;2;13;0; direct;15;1;0.06666666666666667;7.69
151;0;2;13;1; direct;15;11;0.7333333333333333;6.131
152;0;2;13;2; direct;15;8;0.5333333333333333;4.39
153;0;2;13;3; direct;15;14;0.9333333333333333;7.357
154;0;2;13;4; direct;15;4;0.26666666666666666;12.222
155;0;2;14;0; direct;9;5;0.5555555555555556;9.123
156;0;2;14;1; direct;9;8;0.8888888888888888;6.351
157;0;2;14;2; direct;9;7;0.7777777777777778;3.56
158;0;2;14;3; direct;9;2;0.2222222222222222;1.985
159;0;2;14;4; direct;9;1;0.1111111111111111;5.258
160;0;2;15;0; direct;12;6;0.5;6.691
161;0;2;15;1; direct;12;11;0.9166666666666666;9.39
162;0;2;15;2; direct;12;9;0.75;3.238
163;0;2;15;3; direct;12;1;0.08333333333333333;6.287
164;0;2;15;4; direct;12;3;0.25;6.173
165;0;2;16;0; direct;15;4;0.26666666666666666;8.912
166;0;2;16;1; direct;15;14;0.9333333333333333;4.861
167;0;2;16;2; direct;15;1;0.06666666666666667;5.045
168;0;2;16;3; direct;15;8;0.5333333333333333;3.652
169;0;2;16;4; direct;15;11;0.7333333333333333;7.584
170;0;2;17;0; direct;6;2;0.3333333333333333;9.44
171;0;2;17;1; direct;6;1;0.16666666666666666;4.909
172;0;2;17;2; direct;6;4;0.6666666666666666;5.026
173;0;2;17;3; direct;6;3;0.5;5.288
174;0;2;17;4; direct;6;5;0.8333333333333334;7.197
175;0;2;18;0; direct;12;1;0.08333333333333333;7.988
176;0;2;18;1; direct;12;3;0.25;8.149
177;0;2;18;2; direct;12;11;0.9166666666666666;4.012
178;0;2;18;3; direct;12;6;0.5;6.221
179;0;2;18;4; direct;12;9;0.75;3.719
180;0;3;1;0; widening;21;16;0.7619047619047619;140.577
181;0;3;1;1; widening;21;5;0.23809523809523808;11.324
182;0;3;1;2; widening;21;1;0.047619047619047616;6.348
183;0;3;1;3; widening;21;11;0.5238095238095238;4.078
184;0;3;1;4; widening;21;20;0.9523809523809523;8.253
185;0;3;2;0; widening;12;9;0.75;5.424
186;0;3;2;1; widening;12;1;0.08333333333333333;3.67
187;0;3;2;2; widening;12;3;0.25;11.625
188;0;3;2;3; widening;12;11;0.9166666666666666;5.176
189;0;3;2;4; widening;12;6;0.5;5.544
190;0;3;3;0; widening;9;5;0.5555555555555556;12.576
191;0;3;3;1; widening;9;7;0.7777777777777778;3.574
192;0;3;3;2; widening;9;1;0.1111111111111111;3.315
193;0;3;3;3; widening;9;8;0.8888888888888888;4.01
194;0;3;3;4; widening;9;2;0.2222222222222222;4.867
195;0;3;4;0; widening;6;2;0.3333333333333333;10.12
196;0;3;4;1; widening;6;3;0.5;5.319
197;0;3;4;2; widening;6;1;0.16666666666666666;3.964
198;0;3;4;3; widening;6;4;0.6666666666666666;3.684
199;0;3;4;4; widening;6;5;0.8333333333333334;6.663
200;0;3;5;0; widening;9;8;0.8888888888888888;6.574
201;0;3;5;1; widening;9;1;0.1111111111111111;16.109
202;0;3;5;2; widening;9;7;0.7777777777777778;4.876
203;0;3;5;3; widening;9;5;0.5555555555555556;4.179
204;0;3;5;4; widening;9;2;0.2222222222222222;9.129
205;0;3;6;0; widening;18;1;0.05555555555555555;38.099
206;0;3;6;1; widening;18;5;0.2777777777777778;4.019
207;0;3;6;2; widening;18;17;0.9444444444444444;15.523
208;0;3;6;3; widening;18;9;0.5;4.338
209;0;3;6;4; widening;18;14;0.7777777777777778;3.154
210;0;3;7;0; widening;15;14;0.9333333333333333;5.651
211;0;3;7;1; widening;15;1;0.06666666666666667;3.74
212;0;3;7;2; widening;15;11;0.7333333333333333;4.443
213;0;3;7;3; widening;15;8;0.5333333333333333;4.237
214;0;3;7;4; widening;15;4;0.26666666666666666;7.815
215;0;3;8;0; widening;18;1;0.05555555555555555;10.061
216;0;3;8;1; widening;18;17;0.9444444444444444;14.639
217;0;3;8;2; widening;18;5;0.2777777777777778;2.398
218;0;3;8;3; widening;18;14;0.7777777777777778;3.425
219;0;3;8;4; widening;18;9;0.5;5.241
220;0;3;9;0; widening;15;1;0.06666666666666667;6.665
221;0;3;9;1; widening;15;11;0.7333333333333333;9.509
222;0;3;9;2; widening;15;4;0.26666666666666666;6.181
223;0;3;9;3; widening;15;8;0.5333333333333333;5.683
224;0;3;9;4; widening;15;14;0.9333333333333333;15.948
225;0;3;10;0; widening;12;9;0.75;13.598
226;0;3;10;1; widening;12;11;0.9166666666666666;10.933
227;0;3;10;2; widening;12;1;0.08333333333333333;5.17
228;0;3;10;3; widening;12;3;0.25;15.577
229;0;3;10;4; widening;12;6;0.5;4.833
230;0;3;11;0; widening;18;1;0.05555555555555555;30.94
231;0;3;11;1; widening;18;17;0.9444444444444444;4.526
232;0;3;11;2; widening;18;14;0.7777777777777778;9.312
233;0;3;11;3; widening;18;9;0.5;7.03
234;0;3;11;4; widening;18;5;0.2777777777777778;6.791
235;0;3;12;0; widening;9;8;0.8888888888888888;10.11
236;0;3;12;1; widening;9;2;0.2222222222222222;3.326
237;0;3;12;2; widening;9;7;0.7777777777777778;6.366
238;0;3;12;3; widening;9;1;0.1111111111111111;5.355
239;0;3;12;4; widening;9;5;0.5555555555555556;5.965
240;0;3;13;0; widening;12;3;0.25;10.717
241;0;3;13;1; widening;12;9;0.75;18.888
242;0;3;13;2; widening;12;11;0.9166666666666666;6.952
243;0;3;13;3; widening;12;1;0.08333333333333333;5.592
244;0;3;13;4; widening;12;6;0.5;4.791
245;0;3;14;0; widening;15;8;0.5333333333333333;8.723
246;0;3;14;1; widening;15;4;0.26666666666666666;7.758
247;0;3;14;2; widening;15;1;0.06666666666666667;5.64
248;0;3;14;3; widening;15;11;0.7333333333333333;8.473
249;0;3;14;4; widening;15;14;0.9333333333333333;6.738
250;0;3;15;0; widening;21;16;0.7619047619047619;16.795
251;0;3;15;1; widening;21;1;0.047619047619047616;7.663
252;0;3;15;2; widening;21;5;0.23809523809523808;6.375
253;0;3;15;3; widening;21;20;0.9523809523809523;7.97
254;0;3;15;4; widening;21;11;0.5238095238095238;9.358
255;0;3;16;0; widening;6;5;0.8333333333333334;7.891
256;0;3;16;1; widening;6;1;0.16666666666666666;10.343
257;0;3;16;2; widening;6;4;0.6666666666666666;3.576
258;0;3;16;3; widening;6;3;0.5;5.485
259;0;3;16;4; widening;6;2;0.3333333333333333;1.689
260;0;3;17;0; widening;6;1;0.16666666666666666;9.541
261;0;3;17;1; widening;6;5;0.8333333333333334;5.091
262;0;3;17;2; widening;6;3;0.5;26.38
263;0;3;17;3; widening;6;4;0.6666666666666666;1.451
264;0;3;17;4; widening;6;2;0.3333333333333333;5.408
265;0;3;18;0; widening;21;1;0.047619047619047616;7.998
266;0;3;18;1; widening;21;11;0.5238095238095238;4.881
267;0;3;18;2; widening;21;20;0.9523809523809523;9.559
268;0;3;18;3; widening;21;5;0.23809523809523808;3.176
269;0;3;18;4; widening;21;16;0.7619047619047619;7.115
