PID	Block	mental effort	physical effort	temporal effort	performance	effort	frustration
1	1	25	40	60	75	50	30
1	2	50	30	40	75	50	15
1	3	15	30	15	70	40	10
2	1	10	50	25	80	50	15
2	2	15	45	35	75	50	35
2	3	15	35	35	85	40	20
3	1	65	35	80	85	90	85
3	2	30	50	35	35	65	55
3	3	15	85	60	25	75	90
4	1	25	65	25	35	75	65
4	2	15	70	20	35	75	65
4	3	25	75	25	35	75	70
5	1	40	50	0	40	50	20
5	2	60	50	0	70	60	60
5	3	50	50	0	60	60	55
6	1	25	75	35	45	65	35
6	2	25	75	35	45	55	35
6	3	35	65	45	45	75	35
7	1	70	20	0	10	40	90
7	2	30	20	5	5	50	70
7	3	20	10	0	5	15	35
8	1	80	0	20	20	50	80
8	2	30	30	30	80	30	50
8	3	20	0	0	70	30	90
9	1	70	65	25	55	60	35
9	2	45	65	35	20	50	40
9	3	25	70	20	15	60	20
11	1	85	25	75	85	75	65
11	2	70	80	60	25	75	85
11	3	70	55	80	50	75	65
12	1	65	65	15	15	75	15
12	2	45	55	5	15	55	5
12	3	85	80	50	50	75	75
13	1	5	35	5	45	55	75
13	2	20	15	25	25	35	15
13	3	35	55	25	15	45	5
14	1	50	60	20	60	30	80
14	2	60	40	20	70	40	80
14	3	30	30	20	50	30	45
15	1	35	20	45	0	15	0
15	2	10	5	25	0	10	0
15	3	5	10	30	0	10	0
16	1	5	15	25	45	25	95
16	2	15	15	25	45	5	75
16	3	5	15	25	45	15	35
17	1	35	20	10	30	30	70
17	2	35	10	20	20	45	70
17	3	5	10	15	30	5	50
18	1	10	70	60	50	55	50
18	2	30	55	25	30	55	65
18	3	40	55	30	30	60	75
19	1	10	35	15	20	20	15
19	2	35	15	10	45	20	25
19	3	25	30	20	30	30	25
20	1	70	50	60	70	70	50
20	2	60	60	70	50	70	60
20	3	80	40	60	50	70	60
21	1	30	60	50	40	70	40
21	2	80	70	50	50	80	60
21	3	90	90	70	70	80	60
22	1	40	20	20	40	30	20
22	2	30	30	50	70	50	70
22	3	20	30	30	40	30	40
23	1	10	30	20	50	40	40
23	2	10	20	0	60	20	50
23	3	10	20	10	20	20	10
24	1	60	50	50	60	65	55
24	2	65	50	35	65	65	40
24	3	75	80	50	80	80	80